time,x,y,z
3.878,0.03,0.10,0.95
3.896,0.03,0.09,0.96
3.897,0.03,0.09,0.99
3.897,0.03,0.08,1.01
3.898,0.04,0.07,1.03
3.916,0.05,0.07,1.05
3.917,0.07,0.06,1.06
3.918,0.08,0.04,1.07
3.918,0.09,0.03,1.07
3.936,0.08,0.03,1.07
3.937,0.08,0.03,1.07
3.938,0.08,0.03,1.07
3.939,0.08,0.02,1.07
3.956,0.08,0.02,1.08
3.957,0.08,0.02,1.09
3.958,0.09,0.02,1.08
3.958,0.08,0.03,1.09
3.976,0.08,0.04,1.08
3.977,0.08,0.05,1.07
3.977,0.08,0.07,1.05
3.978,0.06,0.08,1.03
3.997,0.07,0.09,1.02
3.997,0.06,0.09,0.99
3.998,0.05,0.09,0.98
3.998,0.05,0.09,0.98
4.017,0.04,0.09,0.98
4.018,0.03,0.11,1.00
4.019,0.03,0.10,1.00
4.020,0.02,0.10,1.02
4.041,0.03,0.08,1.05
4.042,0.01,0.07,1.07
4.042,0.03,0.06,1.09
4.043,0.03,0.05,1.13
4.065,0.05,0.03,1.14
4.066,0.06,0.02,1.15
4.069,0.07,0.01,1.16
4.069,0.08,0.00,1.16
4.077,0.08,-0.03,1.15
4.078,0.11,-0.02,1.15
4.079,0.10,-0.01,1.15
4.079,0.09,0.01,1.12
4.096,0.07,0.03,1.08
4.097,0.05,0.05,1.05
4.098,0.04,0.06,1.03
4.098,0.02,0.05,1.05
4.117,0.00,0.04,1.08
4.118,-0.01,0.01,1.11
4.119,-0.01,-0.01,1.16
4.119,-0.03,-0.03,1.20
4.138,-0.04,-0.06,1.25
4.139,-0.06,-0.08,1.33
4.140,-0.08,-0.09,1.37
4.141,-0.09,-0.12,1.41
4.156,-0.09,-0.14,1.48
4.157,-0.10,-0.16,1.57
4.158,-0.08,-0.18,1.63
